filename	sample_file	age	sample	batch
102F.txt	102F	5	y5s1	1
106F.txt	106F	1	y1s1	1
107F.txt	107F	7	y7s1	1
111F.txt	111F	3	y3s1	1
118F.txt	118F	2	y2s1	1
123F.txt	123F	1	y1s2	1
124F.txt	124F	1	y1s3	1
12F.txt	12F	3	y3s2	1
136F.txt	136F	1	y1s4	1
140F.txt	140F	1	y1s5	1
144F.txt	144F	2	y2s2	1
148F.txt	148F	3	y3s3	1
154F.txt	154F	1	y1s6	1
155F.txt	155F	1	y1s7	1
158F.txt	158F	2	y2s3	1
15F.txt	15F	2	y2s4	1
169F.txt	169F	2	y2s5	1
175F.txt	175F	1	y1s8	1
181F.txt	181F	1	y1s9	1
183F.txt	183F	1	y1s10	1
190F.txt	190F	0	y0s1	1
195F.txt	195F	0	y0s2	1
196F.txt	196F	1	y1s11	1
214F.txt	214F	4	y4s1	1
223F.txt	223F	1	y1s12	1
228F.txt	228F	1	y1s13	1
22F.txt	22F	2	y2s8	1
238F.txt	238F	4	y4s2	1
242F.txt	242F	0	y0s3	1
247F.txt	247F	4	y4s3	1
248F.txt	248F	6	y6s1	1
249F.txt	249F	5	y5s3	1
250F.txt	250F	6	y6s2	1
37F.txt	37F	1	y1s14	1
43F.txt	43F	4	y4s4	1
48F.txt	48F	7	y7s2	1
53F.txt	53F	2	y2s9	1
57F.txt	57F	2	y2s10	1
58F.txt	58F	1	y1s15	1
60F.txt	60F	3	y3s6	1
65F.txt	65F	4	y4s5	1
6F.txt	6F	0	y0s4	1
71F.txt	71F	4	y4s6	1
72F.txt	72F	3	y3s7	1
74F.txt	74F	0	y0s6	1
75F.txt	75F	4	y4s7	1
76F.txt	76F	3	y3s8	1
7F.txt	7F	5	y5s4	1
81F.txt	81F	4	y4s8	1
82F.txt	82F	5	y5s5	1
92F.txt	92F	0	y0s7	1
96F.txt	96F	4	y4s9	1
97F.txt	97F	3	y3s9	1
9F.txt	9F	3	y3s10	1
275.txt	275	0	y0s8	2
1.txt	1	1	y1s16	2
2.txt	2	1	y1s17	2
4.txt	4	1	y1s18	2
5.txt	5	1	y1s19	2
8.txt	8	1	y1s20	2
38.txt	38	1	y1s21	2
39.txt	39	1	y1s22	2
40.txt	40	1	y1s23	2
41.txt	41	1	y1s24	2
47.txt	47	1	y1s25	2
54.txt	54	1	y1s26	2
56.txt	56	1	y1s27	2
61.txt	61	1	y1s28	2
62.txt	62	1	y1s29	2
70.txt	70	1	y1s30	2
79.txt	79	1	y1s32	2
88.txt	88	1	y1s33	2
90.txt	90	1	y1s34	2
94.txt	94	1	y1s35	2
98.txt	98	1	y1s36	2
117.txt	117	1	y1s37	2
141.txt	141	1	y1s38	2
26.txt	26	2	y2s11	2
52.txt	52	2	y2s12	2
55.txt	55	2	y2s13	2
63.txt	63	2	y2s14	2
80.txt	80	2	y2s15	2
112.txt	112	2	y2s16	2
128.txt	128	2	y2s17	2
151.txt	151	2	y2s18	2
153.txt	153	2	y2s19	2
167.txt	167	2	y2s20	2
191.txt	191	2	y2s21	2
193.txt	193	2	y2s22	2
212.txt	212	2	y2s23	2
222.txt	222	2	y2s24	2
225.txt	225	2	y2s25	2
21.txt	21	3	y3s11	2
23.txt	23	3	y3s12	2
28.txt	28	3	y3s13	2
29.txt	29	3	y3s14	2
83.txt	83	3	y3s15	2
84.txt	84	3	y3s16	2
127.txt	127	3	y3s17	2
161.txt	161	3	y3s19	2
163.txt	163	3	y3s20	2
165.txt	165	3	y3s21	2
166.txt	166	3	y3s22	2
188.txt	188	3	y3s24	2
199.txt	199	3	y3s25	2
255.txt	255	4	y4s10	2
257.txt	257	4	y4s11	2
258.txt	258	4	y4s12	2
261.txt	261	4	y4s13	2
264.txt	264	4	y4s14	2
