filename	sample_id	age	sample	batch	station	length	weight	gutted_weight	sex	maturity	geo_location
1.txt	1	1	y1s16	2	3	20.5	82	73	M	a	A
2.txt	2	1	y1s17	2	3	19.5	70	64	M	a	A
4.txt	4	1	y1s18	2	12	25.5	153	139	M	a	A
5.txt	5	1	y1s19	2	12	25.5	170	145	F	a	A
6F.txt	6	0	y0s4	1	23	11.5	14	12	NA	NA	A
7F.txt	7	5	y5s4	1	49	79.5	4420	3820	F	c	C
8.txt	8	1	y1s20	2	49	25.5	153	NA	F	a	C
9F.txt	9	3	y3s10	1	68	55.5	1698	1440	F	b	L
12F.txt	12	3	y3s2	1	68	56.5	1583	1371	M	b	L
15F.txt	15	2	y2s4	1	68	40.5	701	600	F	b	L
21.txt	21	3	y3s11	2	69	47.5	998	856	M	b	L
22F.txt	22	2	y2s8	1	69	39.5	536	474	F	a	L
23.txt	23	3	y3s12	2	69	37.5	459	401	F	b	L
26.txt	26	2	y2s11	2	69	36.5	447	369	F	a	L
28.txt	28	3	y3s13	2	70	66.5	2612	2294	F	b	L
29.txt	29	3	y3s14	2	70	49.5	1186	994	F	b	L
37F.txt	37	1	y1s14	1	70	26.5	174	160	F	a	L
38.txt	38	1	y1s21	2	70	24.5	142	126	F	a	L
39.txt	39	1	y1s22	2	70	25.5	144	132	F	a	L
40.txt	40	1	y1s23	2	70	23.5	124	108	F	a	L
41.txt	41	1	y1s24	2	70	24.5	142	128	F	a	L
43F.txt	43	4	y4s4	1	71	59.5	2313	1782	M	b	L
47.txt	47	1	y1s25	2	71	27.5	186	166	M	a	L
48F.txt	48	7	y7s2	1	72	91.5	7060	6060	M	b	L
52.txt	52	2	y2s12	2	72	42.5	698	571	F	a	L
53F.txt	53	2	y2s9	1	72	36.5	484	427	M	a	L
54.txt	54	1	y1s26	2	72	27.5	172	154	M	a	L
55.txt	55	2	y2s13	2	73	39.5	612	512	M	a	L
56.txt	56	1	y1s27	2	73	28.5	184	170	F	a	L
57F.txt	57	2	y2s10	1	73	39.5	527	460	F	a	L
58F.txt	58	1	y1s15	1	73	26.5	146	135	F	a	L
60F.txt	60	3	y3s6	1	74	58.5	2262	1956	M	b	M
61.txt	61	1	y1s28	2	74	31.5	266	246	M	a	M
62.txt	62	1	y1s29	2	74	30.5	250	228	F	a	M
63.txt	63	2	y2s14	2	75	54.5	1600	1403	F	b	M
65F.txt	65	4	y4s5	1	77	65.5	3110	2564	M	b	M
70.txt	70	1	y1s30	2	79	29.5	218	202	F	a	M
71F.txt	71	4	y4s6	1	80	66.5	3226	2474	F	b	M
72F.txt	72	3	y3s7	1	80	56.5	1956	1710	M	b	M
74F.txt	74	0	y0s6	1	81	8.5	6	NA	F	a	M
75F.txt	75	4	y4s7	1	82	71.5	3524	3086	F	b	M
76F.txt	76	3	y3s8	1	82	56.5	1756	1548	F	a	M
79.txt	79	1	y1s32	2	84	27.5	192	167	M	a	M
80.txt	80	2	y2s15	2	84	48.5	1064	934	M	a	M
81F.txt	81	4	y4s8	1	86	73.5	4706	3958	M	b	M
82F.txt	82	5	y5s5	1	86	90.5	7460	6500	M	b	M
83.txt	83	3	y3s15	2	86	74.5	4194	3618	F	b	M
84.txt	84	3	y3s16	2	86	69.5	3364	2778	F	b	M
88.txt	88	1	y1s33	2	88	30.5	261	230	F	a	M
90.txt	90	1	y1s34	2	88	28.5	197	179	M	a	M
92F.txt	92	0	y0s7	1	90	9.5	8	NA	NA	NA	M
94.txt	94	1	y1s35	2	91	28.5	230	208	M	a	M
96F.txt	96	4	y4s9	1	92	63.5	2703	2305	F	a	M
97F.txt	97	3	y3s9	1	92	56.5	1674	1460	F	a	M
98.txt	98	1	y1s36	2	92	27.5	180	162	F	a	M
102F.txt	102	5	y5s1	1	92	66.5	3488	2940	F	b	M
106F.txt	106	1	y1s1	1	92	25.5	144	134	M	a	M
107F.txt	107	7	y7s1	1	93	82.5	6000	5240	F	c	M
111F.txt	111	3	y3s1	1	96	56.5	2072	1778	F	a	M
112.txt	112	2	y2s16	2	96	51.5	1364	1192	M	b	M
